time	V(n012)	V(n015)	I(L1)
2.597078898839472e-006	1.298327e+001	5.577381e-004	7.498483e-002
2.610652453032305e-006	1.305096e+001	5.464193e-004	8.142240e-002
2.628808762535175e-006	1.314153e+001	5.398162e-004	9.001181e-002
2.653950088701553e-006	1.326691e+001	5.349477e-004	1.018527e-001
2.691095720414077e-006	1.345218e+001	5.295039e-004	1.192031e-001
2.743845888773878e-006	1.371527e+001	5.223441e-004	1.434193e-001
2.831218687739660e-006	1.415109e+001	5.111133e-004	1.820716e-001
2.961671689833317e-006	1.480188e+001	4.956141e-004	2.352227e-001
3.156984189833318e-006	1.577657e+001	4.746834e-004	3.033551e-001
3.352296689833318e-006	1.675172e+001	4.560740e-004	3.548870e-001
3.547609189833318e-006	1.772746e+001	4.395369e-004	3.854635e-001
3.742921689833318e-006	1.870380e+001	4.247276e-004	3.931368e-001
3.938234189833318e-006	1.968081e+001	4.113803e-004	3.775557e-001
4.133546689833318e-006	2.065839e+001	3.992687e-004	3.399764e-001
4.328859189833317e-006	2.163651e+001	3.880143e-004	2.867916e-001
4.358859189833317e-006	2.178679e+001	3.864455e-004	2.765068e-001
4.398859189833317e-006	2.198717e+001	3.843509e-004	2.619319e-001
4.463902444356114e-006	2.231305e+001	3.809768e-004	2.373899e-001
4.500000000000000e-006	2.249393e+001	3.791518e-004	2.230823e-001
4.510000000000000e-006	2.254403e+001	3.786225e-004	2.190513e-001
4.511000000000000e-006	2.254935e+001	3.801177e-004	2.186460e-001
4.513000000000000e-006	2.255995e+001	3.826440e-004	2.178346e-001
4.516000000000000e-006	2.257571e+001	3.852548e-004	2.166156e-001
4.520000000000000e-006	2.259655e+001	3.874619e-004	2.149878e-001
4.520400000000000e-006	2.259850e+001	3.868393e-004	2.148246e-001
4.521200000000000e-006	2.260237e+001	3.855705e-004	2.144982e-001
4.522800000000000e-006	2.261011e+001	3.831631e-004	2.138448e-001
4.525000125608649e-006	2.262073e+001	3.801060e-004	2.129450e-001
4.529400376825946e-006	2.264175e+001	3.735724e-004	2.111420e-001
4.531957074961365e-006	2.265343e+001	3.678762e-004	2.100926e-001
4.533299021694734e-006	2.265896e+001	3.621914e-004	2.095409e-001
4.534161327444108e-006	2.266190e+001	3.552671e-004	2.091860e-001
4.534778757346399e-006	2.266327e+001	3.462441e-004	2.089317e-001
4.535297623969046e-006	2.266339e+001	3.326281e-004	2.087179e-001
4.535767812100163e-006	2.266181e+001	3.103576e-004	2.085240e-001
4.536229922805519e-006	2.265725e+001	2.702249e-004	2.083332e-001
4.536755633200293e-006	2.264578e+001	1.954185e-004	2.081160e-001
4.537259578471324e-006	2.262887e+001	9.899114e-005	2.079073e-001
4.537601608843297e-006	2.261579e+001	2.484296e-005	2.077654e-001
4.537975403216486e-006	2.260109e+001	-5.832365e-005	2.076101e-001
4.538352358054811e-006	2.258596e+001	-1.414709e-004	2.074530e-001
4.539106267731463e-006	2.255493e+001	-3.044823e-004	2.071378e-001
4.540614087084766e-006	2.248989e+001	-6.185846e-004	2.065024e-001
4.543629725791372e-006	2.234819e+001	-1.205573e-003	2.052110e-001
4.549661003204584e-006	2.202042e+001	-2.282064e-003	2.025674e-001
4.554580409101890e-006	2.171184e+001	-3.081483e-003	2.003493e-001
4.558411733369333e-006	2.144910e+001	-3.645691e-003	1.985675e-001
4.562254011186152e-006	2.116886e+001	-4.159604e-003	1.967257e-001
4.567050231041928e-006	2.079949e+001	-4.734926e-003	1.943500e-001
4.572867661112018e-006	2.032825e+001	-5.346057e-003	1.913573e-001
4.579340611714609e-006	1.978124e+001	-5.929602e-003	1.878867e-001
4.585250445299765e-006	1.926662e+001	-6.381604e-003	1.845793e-001
4.591243352998473e-006	1.873450e+001	-6.770166e-003	1.810815e-001
4.597120072518828e-006	1.820632e+001	-7.094245e-003	1.775094e-001
4.603420561092138e-006	1.763661e+001	-7.388442e-003	1.735234e-001
4.609831156466890e-006	1.705674e+001	-7.639125e-003	1.693021e-001
4.616774437028847e-006	1.643214e+001	-7.861514e-003	1.645419e-001
4.624058821967260e-006	1.578461e+001	-8.045433e-003	1.593394e-001
4.632177313037776e-006	1.507681e+001	-8.195498e-003	1.532935e-001
4.641049877126936e-006	1.432521e+001	-8.297250e-003	1.463945e-001
4.651305651260941e-006	1.349161e+001	-8.336890e-003	1.380541e-001
4.663013569871547e-006	1.259435e+001	-8.281178e-003	1.280764e-001
4.677146724671388e-006	1.159960e+001	-8.069537e-003	1.154317e-001
4.694009258016439e-006	1.055341e+001	-7.604026e-003	9.957590e-002
4.715225037504174e-006	9.472641e+000	-6.683486e-003	7.863592e-002
4.740826577328280e-006	8.535349e+000	-5.089459e-003	5.226421e-002
4.772173257605686e-006	7.945713e+000	-2.560334e-003	1.898548e-002
4.800560432881188e-006	7.944140e+000	8.045701e-005	-1.155822e-002
4.821347806546686e-006	8.266418e+000	2.069152e-003	-3.385670e-002
4.842003621398542e-006	8.860019e+000	3.889991e-003	-5.555113e-002
4.871448429525946e-006	1.017717e+001	6.001883e-003	-8.509818e-002
4.909060582002473e-006	1.263728e+001	8.070429e-003	-1.209768e-001
4.911333071180667e-006	1.281258e+001	8.156269e-003	-1.230329e-001
4.915878049537055e-006	1.317148e+001	8.272273e-003	-1.269644e-001
4.924968006249832e-006	1.392097e+001	8.461786e-003	-1.345510e-001
4.943147919675385e-006	1.553326e+001	8.733538e-003	-1.490770e-001
4.950000000000000e-006	1.617504e+001	8.784292e-003	-1.542607e-001
4.960000000000000e-006	1.713769e+001	8.798308e-003	-1.614805e-001
4.960220000000000e-006	1.715918e+001	8.797611e-003	-1.616330e-001
4.960660000000000e-006	1.720217e+001	8.796031e-003	-1.619374e-001
4.966820000000003e-006	1.780839e+001	8.759373e-003	-1.661075e-001
4.970000000000000e-006	1.812403e+001	8.733496e-003	-1.682152e-001
4.970006996013992e-006	1.812472e+001	8.733428e-003	-1.682198e-001
4.970020988041976e-006	1.812611e+001	8.733290e-003	-1.682289e-001
4.974303704035979e-006	1.855577e+001	8.684500e-003	-1.709742e-001
4.978586420029983e-006	1.898480e+001	8.623363e-003	-1.736437e-001
4.982869136023986e-006	1.941320e+001	8.549878e-003	-1.762376e-001
4.987151852017990e-006	1.984096e+001	8.464046e-003	-1.787558e-001
4.991434568011993e-006	2.026809e+001	8.365866e-003	-1.811982e-001
4.995717284005997e-006	2.069458e+001	8.255339e-003	-1.835650e-001
5.000000000000000e-006	2.112045e+001	8.132464e-003	-1.858560e-001
5.000013683808333e-006	2.112180e+001	1.480890e-002	-1.858632e-001
5.000041051424998e-006	2.112449e+001	2.820471e-002	-1.858775e-001
