Freq.	V(Vout+,Vout-)*45
3.47707707707705e+004	(1.76890891110688e+000dB,1.26189657801888e+002°)
3.48868868868866e+004	(1.82863942798817e+000dB,1.26032019759949e+002°)
3.50030030030027e+004	(1.88823941946388e+000dB,1.25874371286542e+002°)
3.51191191191189e+004	(1.94771051892160e+000dB,1.25716709213120e+002°)
3.52352352352350e+004	(2.00705434677562e+000dB,1.25559030345131e+002°)
3.53513513513511e+004	(2.06627251063218e+000dB,1.25401331461794e+002°)
3.54674674674672e+004	(2.12536660545175e+000dB,1.25243609315861e+002°)
3.55835835835833e+004	(2.18433821370841e+000dB,1.25085860633385e+002°)
3.56996996996994e+004	(2.24318890554628e+000dB,1.24928082113473e+002°)
3.58158158158155e+004	(2.30192023893313e+000dB,1.24770270428043e+002°)
3.59319319319317e+004	(2.36053375981117e+000dB,1.24612422221571e+002°)
3.60480480480478e+004	(2.41903100224503e+000dB,1.24454534110832e+002°)
3.61641641641639e+004	(2.47741348856703e+000dB,1.24296602684642e+002°)
3.62802802802800e+004	(2.53568272951975e+000dB,1.24138624503590e+002°)
3.63963963963961e+004	(2.59384022439591e+000dB,1.23980596099768e+002°)
3.65125125125122e+004	(2.65188746117561e+000dB,1.23822513976494e+002°)
3.66286286286284e+004	(2.70982591666098e+000dB,1.23664374608029e+002°)
3.67447447447445e+004	(2.76765705660820e+000dB,1.23506174439295e+002°)
3.68608608608606e+004	(2.82538233585707e+000dB,1.23347909885579e+002°)
3.69769769769767e+004	(2.88300319845795e+000dB,1.23189577332237e+002°)
3.70930930930928e+004	(2.94052107779630e+000dB,1.23031173134393e+002°)
3.72092092092089e+004	(2.99793739671470e+000dB,1.22872693616633e+002°)
3.73253253253250e+004	(3.05525356763239e+000dB,1.22714135072687e+002°)
3.74414414414412e+004	(3.11247099266253e+000dB,1.22555493765116e+002°)
3.75575575575573e+004	(3.16959106372689e+000dB,1.22396765924985e+002°)
3.76736736736734e+004	(3.22661516266828e+000dB,1.22237947751534e+002°)
3.77897897897895e+004	(3.28354466136058e+000dB,1.22079035411843e+002°)
3.79059059059056e+004	(3.34038092181643e+000dB,1.21920025040492e+002°)
3.80220220220217e+004	(3.39712529629267e+000dB,1.21760912739213e+002°)
3.81381381381378e+004	(3.45377912739332e+000dB,1.21601694576540e+002°)
3.82542542542540e+004	(3.51034374817044e+000dB,1.21442366587447e+002°)
3.83703703703701e+004	(3.56682048222265e+000dB,1.21282924772986e+002°)
3.84864864864862e+004	(3.62321064379135e+000dB,1.21123365099918e+002°)
3.86026026026023e+004	(3.67951553785479e+000dB,1.20963683500333e+002°)
3.87187187187184e+004	(3.73573646021978e+000dB,1.20803875871272e+002°)
3.88348348348345e+004	(3.79187469761132e+000dB,1.20643938074335e+002°)
3.89509509509506e+004	(3.84793152775988e+000dB,1.20483865935286e+002°)
3.90670670670668e+004	(3.90390821948660e+000dB,1.20323655243654e+002°)
3.91831831831829e+004	(3.95980603278616e+000dB,1.20163301752325e+002°)
3.92992992992990e+004	(4.01562621890758e+000dB,1.20002801177126e+002°)
