Freq.	V(Vout+,Vout-)
Step Information: Rl=4  (Run: 1/7)
1.53453453453453e+005	(-3.92783242231302e+000dB,7.15226459121349e+001°)
1.53653653653653e+005	(-3.78060030008512e+000dB,7.00473569641451e+001°)
1.53853853853853e+005	(-3.62507639450030e+000dB,6.84957445855812e+001°)
1.54054054054053e+005	(-3.46161466363331e+000dB,6.68596962701308e+001°)
1.54254254254253e+005	(-3.29068378464199e+000dB,6.51304670655112e+001°)
1.54454454454454e+005	(-3.11289564636657e+000dB,6.32986714070997e+001°)
1.54654654654654e+005	(-2.92903902355332e+000dB,6.13543025765080e+001°)
1.54854854854854e+005	(-2.74011874599591e+000dB,5.92867924096657e+001°)
1.55055055055054e+005	(-2.54740028357356e+000dB,5.70851276053295e+001°)
1.55255255255254e+005	(-2.35245899127240e+000dB,5.47380430089317e+001°)
1.55455455455455e+005	(-2.15723218795449e+000dB,5.22343159782884e+001°)
1.55655655655655e+005	(-1.96407067044129e+000dB,4.95631882638440e+001°)
1.55855855855855e+005	(-1.77578412334651e+000dB,4.67149409219412e+001°)
1.56056056056055e+005	(-1.59567222502366e+000dB,4.36816409531955e+001°)
1.56256256256255e+005	(-1.42753035384910e+000dB,4.04580622717495e+001°)
1.56456456456456e+005	(-1.27561632303205e+000dB,3.70427549826423e+001°)
1.56656656656656e+005	(-1.14456365067007e+000dB,3.34391942096168e+001°)
1.56856856856856e+005	(-1.03922906179559e+000dB,2.96568856832075e+001°)
1.57057057057056e+005	(-9.64468810659239e-001dB,2.57122501569206e+001°)
1.57257257257256e+005	(-9.24850787377817e-001dB,2.16290714986334e+001°)
1.57457457457457e+005	(-9.24326066992923e-001dB,1.74382988444861e+001°)
1.57657657657657e+005	(-9.65900623300786e-001dB,1.31770623900219e+001°)
1.57857857857857e+005	(-1.05135907763604e+000dB,8.88689749956443e+000°)
1.58058058058057e+005	(-1.18109130313068e+000dB,4.61134507614784e+000°)
1.58258258258257e+005	(-1.35405674939727e+000dB,3.93252803794202e-001°)
1.58458458458458e+005	(-1.56789393838091e+000dB,-3.72781759795237e+000°)
1.58658658658658e+005	(-1.81915260852902e+000dB,-7.71770086713381e+000°)
1.58858858858858e+005	(-2.10360363234224e+000dB,-1.15490063978287e+001°)
1.59059059059058e+005	(-2.41657353123654e+000dB,-1.52016871508620e+001°)
1.59259259259258e+005	(-2.75325628443286e+000dB,-1.86628813600527e+001°)
1.59459459459459e+005	(-3.10897018098389e+000dB,-2.19262117428842e+001°)
1.59659659659659e+005	(-3.47934500726809e+000dB,-2.49907615581881e+001°)
1.59859859859859e+005	(-3.86043964344899e+000dB,-2.78599272325831e+001°)
1.60060060060059e+005	(-4.24879969296169e+000dB,-3.05402979578303e+001°)
1.60260260260259e+005	(-4.64146906895459e+000dB,-3.30406562669245e+001°)
1.60460460460460e+005	(-5.03596984066870e+000dB,-3.53711446315367e+001°)
1.60660660660660e+005	(-5.43026274959257e+000dB,-3.75426076392969e+001°)
1.60860860860860e+005	(-5.82269800296777e+000dB,-3.95660974849136e+001°)
1.61061061061060e+005	(-6.21196312238579e+000dB,-4.14525196242777e+001°)
1.61261261261260e+005	(-6.59703221456166e+000dB,-4.32123920375276e+001°)
1.61461461461461e+005	(-6.97711918621804e+000dB,-4.48556925775025e+001°)
1.61661661661661e+005	(-7.35163612322329e+000dB,-4.63917721059165e+001°)
1.61861861861861e+005	(-7.72015720032612e+000dB,-4.78293151000502e+001°)
1.62062062062061e+005	(-8.08238796996993e+000dB,-4.91763333290362e+001°)
1.62262262262261e+005	(-8.43813959566466e+000dB,-5.04401816548619e+001°)
1.62462462462462e+005	(-8.78730746695971e+000dB,-5.16275878704336e+001°)
1.62662662662662e+005	(-9.12985360040156e+000dB,-5.27446907475260e+001°)
